player_first_name,player_last_name,team_name,position,overall_rank,position_rank
jonathan,taylor,IND,RB,1,1
derrick,henry,TEN,RB,2,2
najee,harris,PIT,RB,3,3
cooper,kupp,LAR,WR,4,1
justin,jefferson,MIN,WR,5,2
jamarr,chase,CIN,WR,6,3
deebo,samuel,SF,WR,7,4
alvin,kamara,NO,RB,8,4
joe,mixon,CIN,RB,9,5
dalvin,cook,MIN,RB,10,6
austin,ekeler,LAC,RB,11,7
saquon,barkley,NYG,RB,12,8
nick,chubb,CLE,RB,13,9
ezekiel,elliott,DAL,RB,14,10
stefon,diggs,BUF,WR,15,5
ceedee,lamb,DAL,WR,16,6
mike,evans,TB,WR,17,7
davante,adams,LV,WR,18,8
mark,andrews,BAL,TE,19,1
travis,kelce,KC,TE,20,2
george,kittle,SF,TE,21,3
leonard,fournette,TB,RB,22,11
jk,dobbins,BAL,RB,23,12
dandre,swift,DET,RB,24,13
christian,mccaffrey,CAR,RB,25,14
aaron,jones,GB,RB,26,15
michael,pittman,IND,WR,27,9
keenan,allen,LAC,WR,28,10
jerry,jeudy,DEN,WR,29,11
courtland,sutton,DEN,WR,30,12
tee,higgins,CIN,WR,31,13
dj,moore,CAR,WR,32,14
brandin,cooks,HOU,WR,33,15
josh,allen,BUF,QB,34,1
kyle,pitts,ATL,TE,35,4
dalton,schultz,DAL,TE,36,5
darren,waller,LV,TE,37,6
justin,herbert,LAC,QB,38,2
patrick,mahomes,KC,QB,39,3
javonte,williams,DEN,RB,40,16
travis,etienne,JAC,RB,41,17
james,conner,ARI,RB,42,18
josh,jacobs,LV,RB,43,19
mike,williams,LAC,WR,44,16
terry,mclaurin,WAS,WR,45,17
allen,robinson,LAR,WR,46,18
chris,godwin,TB,WR,47,19
christian,kirk,JAC,WR,48,20
aj,brown,PHI,WR,49,21
tyreek,hill,MIA,WR,50,22
jaylen,waddle,MIA,WR,51,23
dak,prescott,DAL,QB,52,4
joe,burrow,CIN,QB,53,5
lamar,jackson,BAL,QB,54,6
zach,ertz,ARI,TE,55,7
tj,hockenson,DET,TE,56,8
dallas,goedert,PHI,TE,57,9
elijah,mitchell,SF,RB,58,20
clyde,edwardshelaire,KC,RB,59,21
devin,singletary,BUF,RB,60,22
miles,sanders,PHI,RB,61,23
dameon,pierce,HOU,RB,62,24
cam,akers,LAR,RB,63,25
david,montgomery,CHI,RB,64,26
marquise,brown,ARI,WR,65,24
gabriel,davis,BUF,WR,66,25
amari,cooper,CLE,WR,67,26
michael,thomas,NO,WR,68,27
adam,thielen,MIN,WR,69,28
hunter,renfrow,LV,WR,70,29
diontae,johnson,PIT,WR,71,30
dk,metcalf,SEA,WR,72,31
allen,lazard,GB,WR,73,32
michael,gallup,DAL,WR,74,33
matthew,stafford,LAR,QB,75,7
aaron,rodgers,GB,QB,76,8
tom,brady,TB,QB,77,9
kyler,murray,ARI,QB,78,10
russell,wilson,DEN,QB,79,11
derek,carr,LV,QB,80,12
noah,fant,SEA,TE,81,10
dawson,knox,BUF,TE,82,11
pat,freiermuth,PIT,TE,83,12
tyler,higbee,LAR,TE,84,13
breece,hall,NYJ,RB,85,27
damien,harris,NE,RB,86,28
chase,edmonds,MIA,RB,87,29
antonio,gibson,WAS,RB,88,30
cordarrelle,patterson,ATL,RB,89,31
tony,pollard,DAL,RB,90,32
alexander,mattison,MIN,RB,91,33
aj,dillon,GB,RB,92,34
rashaad,penny,SEA,RB,93,35
skyy,moore,KC,WR,94,34
brandon,aiyuk,SF,WR,95,35
elijah,moore,NYJ,WR,96,36
amonra,stbrown,DET,WR,97,37
darnell,mooney,CHI,WR,98,38
van,jefferson,LAR,WR,99,39
rashod,bateman,BAL,WR,100,40
drake,london,ATL,WR,101,41
tyler,lockett,SEA,WR,102,42
devonta,smith,PHI,WR,103,43
kadarius,toney,NYG,WR,104,44
james,robinson,JAC,RB,105,36
melvin,gordon,DEN,RB,106,37
nyheim,hines,IND,RB,107,38
chuba,hubbard,CAR,RB,108,39
darrell,henderson,LAR,RB,109,40
rhamondre,stevenson,NE,RB,110,41
kareem,hunt,CLE,RB,111,42
matt,breida,NYG,RB,112,43
rachaad,white,TB,RB,113,44
khalil,herbert,CHI,RB,114,45
rex,burkhead,HOU,RB,115,46
juju,smithschuster,KC,WR,116,45
dj,chark,DET,WR,117,46
deandre,hopkins,ARI,WR,118,47
garrett,wilson,NYJ,WR,119,48
chris,olave,NO,WR,120,49
robert,woods,TEN,WR,121,50
chase,claypool,PIT,WR,122,51
michael,carter,NYJ,WR,123,52
jakobi,meyers,NE,WR,124,53
russell,gage,TB,WR,125,54
trevor,lawrence,JAC,QB,126,13
jalen,hurts,PHI,QB,127,14
kirk,cousins,MIN,QB,128,15
trey,lance,SF,QB,129,16
matt,ryan,IND,QB,130,17
austin,hooper,TEN,TE,131,14
cole,kmet,CHI,TE,132,15
albert,okwuegbunam,DEN,TE,133,16
hunter,henry,NE,TE,134,17
mike,gesicki,MIA,TE,135,18
david,njoku,CLE,TE,136,19
evan,engram,JAC,TE,137,20
,cowboys,DAL,D/ST,138,1
,ravens,BAL,D/ST,139,2
,bills,BUF,D/ST,140,3
justin,tucker,BAL,K,141,1
evan,mcpherson,CIN,K,142,2
matt,gay,LAR,K,143,3
harrison,butker,KC,K,144,4
jamaal,williams,DET,RB,145,47
tyler,allgeier,ATL,RB,146,48
mike,davis,BAL,RB,147,49
mark,ingram,NO,RB,148,50
sony,michel,LAC,RB,149,51
rahim,mostert,MIA,RB,150,52
damien,williams,ATL,RB,151,53
samaje,perine,CIN,RB,152,54
michael,carter,NYJ,RB,153,55
kenneth,walker,SEA,RB,154,56
marquez,valdesscantling,KC,WR,155,55
tyler,boyd,CIN,WR,156,56
robbie,anderson,CAR,WR,157,57
treylon,burks,TEN,WR,158,58
jahan,dotson,WAS,WR,159,59
jarvis,landry,NO,WR,160,60
devante,parker,NE,WR,161,61
marvin,jones,JAC,WR,162,62
romeo,doubs,GB,WR,163,63
alec,pierce,IND,WR,164,64
rondale,moore,ARI,WR,165,65
noah,brown,DAL,WR,166,66
sammy,watkins,GB,WR,167,67
ryan,tannehill,TEN,QB,168,18
jameis,winston,NO,QB,169,19
tua,tagovailoa,MIA,QB,170,20
baker,mayfield,CAR,QB,171,21
marcus,mariota,ATL,QB,172,22
carson,wentz,WSH,QB,173,23
jared,goff,DET,QB,174,24
mitch,trubisky,PIT,QB,175,25
mac,jones,NE,QB,176,26
justin,fields,CHI,QB,177,27
davis,mills,HOU,QB,178,28
,colts,IND,D/ST,179,4
,bengals,CIN,D/ST,180,5
,packers,GB,D/ST,181,6
,vikings,MIN,D/ST,182,7
,49ers,SF,D/ST,183,8
daniel,carlson,LV,K,184,5
brandon,mcmanus,DEN,K,185,6
tyler,bass,BUF,K,186,7
greg,joseph,MIN,K,187,8
jake,elliott,PHI,K,188,9
dustin,hopkins,LAC,K,189,10
mason,crosby,GB,K,190,11
chris,boswell,PIT,K,191,12
james,cook,BUF,RB,192,57
zack,moss,BUF,RB,193,58
jeff,wilson,SF,RB,194,59
jd,mckissic,WAS,RB,195,60
brian,robinson,WAS,RB,196,61
dontrell,hilliard,TEN,RB,197,62
myles,gaskin,MIA,RB,198,63
ty,montgomery,NE,RB,199,64
kenneth,gainwell,PHI,RB,200,65
jaylen,warren,PIT,RB,201,66
zamir,white,LV,RB,202,67
donta,foreman,CAR,RB,203,68
chris,moore,HOU,WR,204,68
devin,duvernay,BAL,WR,205,69
donovan,peoplesjones,CLE,WR,206,70
kenny,golladay,NYG,WR,207,71
kj,osborn,MIN,WR,208,72
bryan,edwards,ATL,WR,209,73
nico,collins,HOU,WR,210,74
zay,jones,JAC,WR,211,75
parris,campbell,IND,WR,212,76
byron,pringle,CHI,WR,213,77
cedrick,wilson,MIA,WR,214,78
mack,hollins,OAK,WR,215,79
kj,hamler,DEN,WR,216,80
eno,benjamin,ARI,RB,217,69
jerick,mckinnon,KC,RB,218,70
joshua,kelley,LAC,RB,219,71
dwayne,washington,NO,RB,220,72
boston,scott,PHI,RB,221,73
travis,homer,SEA,RB,222,74
ameer,abdullah,LV,RB,223,75
chris,evans,CIN,RB,224,76
dernest,johnson,CLE,RB,225,77
rico,dowdle,DAL,RB,226,78
isiah,pacheco,KC,RB,227,79
darrel,williams,ARI,RB,228,80
hayden,hurst,CIN,TE,229,21
irv,smith,MIN,TE,230,22
robert,tonyan,GB,TE,231,23
logan,thomas,WAS,TE,232,24
gerald,everett,LAC,TE,233,25
mo,aliecox,IND,TE,234,26
brevin,jordan,HOU,TE,235,27
tyler,conklin,NYJ,TE,236,28
tommy,tremble,CAR,TE,237,29
cameron,brate,TB,TE,238,30
taysom,hill,NO,TE,239,31
jake,ferguson,DAL ,TE,240,32
,saints,NO,D/ST,241,9
,buccaneers,TB,D/ST,242,10
,titans,TEN,D/ST,243,11
,rams,LAR,D/ST,244,12
,steelers,PIT,D/ST,245,13
,dolphins,MIA,D/ST,246,14
