player_first_name,player_last_name,team_name,position,overall_rank,position_rank
justin,jefferson,MIN,WR,1,1
ja'marr,chase,CIN,WR,2,2
jonathan,taylor,IND,RB,3,1
ceedee,lamb,DAL,WR,4,3
najee,harris,PIT,RB,5,2
d'andre,swift,DET,RB,6,3
tee,higgins,CIN,WR,7,4
christian,mccaffrey,CAR,RB,8,4
javonte,williams,DEN,RB,9,5
kyle,pitts,ATL,TE,10,1
deebo,samuel,SF,WR,11,5
breece,hall,NYJ,RB,12,6
a.j.,brown,PHI,WR,13,6
davante,adams,LV,WR,14,7
austin,ekeler,LAC,RB,15,7
cooper,kupp,LA,WR,16,8
stefon,diggs,BUF,WR,17,9
dalvin,cook,MIN,RB,18,8
tyreek,hill,MIA,WR,19,10
joe,mixon,CIN,RB,20,9
chris,godwin,TB,WR,21,11
d.j.,moore,CAR,WR,22,12
saquon,barkley,NYG,RB,23,10
d.k.,metcalf,SEA,WR,24,13
nick,chubb,CLE,RB,25,11
josh,allen,BUF,QB,26,1
diontae,johnson,PIT,WR,27,14
justin,herbert,LAC,QB,28,2
alvin,kamara,NO,RB,29,12
patrick,mahomes,KC,QB,30,3
jaylen,waddle,MIA,WR,31,15
terry,mclaurin,WAS,WR,32,16
jerry,jeudy,DEN,WR,33,17
j.k.,dobbins,BAL,RB,34,13
mark,andrews,BAL,TE,35,2
keenan,allen,LAC,WR,36,18
lamar,jackson,BAL,QB,37,4
travis,etienne,JAC,RB,38,14
cam,akers,LA,RB,39,15
travis,kelce,KC,TE,40,3
derrick,henry,TEN,RB,41,16
elijah,moore,NYJ,WR,42,19
david,montgomery,CHI,RB,43,17
antonio,gibson,WAS,RB,44,18
drake,london,ATL,WR,45,20
josh,jacobs,LV,RB,46,19
joe,burrow,CIN,QB,47,5
kenneth,walker iii,SEA,RB,48,20
kyler,murray,ARI,QB,49,6
treylon,burks,TEN,WR,50,21
mike,evans,TB,WR,51,22
leonard,fournette,TB,RB,52,21
rashod,bateman,BAL,WR,53,23
aaron,jones,GB,RB,54,22
devonta,smith,PHI,WR,55,24
deshaun,watson,CLE,QB,56,7
ezekiel,elliott,DAL,RB,57,23
courtland,sutton,DEN,WR,58,25
a.j.,dillon,GB,RB,59,24
darren,waller,LV,TE,60,4
dak,prescott,DAL,QB,61,8
deandre,hopkins,ARI,WR,62,26
elijah,mitchell,SF,RB,63,25
russell,wilson,DEN,QB,64,9
george,kittle,SF,TE,65,5
garrett,wilson,NYJ,WR,66,27
jalen,hurts,PHI,QB,67,10
marquise,brown,ARI,WR,68,28
james,conner,ARI,RB,69,26
dalton,schultz,DAL,TE,70,6
tony,pollard,DAL,RB,71,27
t.j.,hockenson,DET,TE,72,7
matthew,stafford,LA,QB,73,11
jameson,williams,DET,WR,74,29
michael,pittman,IND,WR,75,30
trey,lance,SF,QB,76,12
miles,sanders,PHI,RB,77,28
james,cook,BUF,RB,78,29
mike,williams,LAC,WR,79,31
amari,cooper,CLE,WR,80,32
clyde,edwards-helaire,KC,RB,81,30
dallas,goedert,PHI,TE,82,8
darnell,mooney,CHI,WR,83,33
trevor,lawrence,JAC,QB,84,13
chase,edmonds,MIA,RB,85,31
rhamondre,stevenson,NE,RB,86,32
kareem,hunt,CLE,RB,87,33
juju,smith-schuster,KC,WR,88,34
allen,robinson,LA,WR,89,35
aaron,rodgers,GB,QB,90,14
damien,harris,NE,RB,91,34
pat,freiermuth,PIT,TE,92,9
chase,claypool,PIT,WR,93,36
melvin,gordon iii,DEN,RB,94,35
tua,tagovailoa,MIA,QB,95,15
chris,olave,NO,WR,96,37
gabriel,davis,BUF,WR,97,38
justin,fields,CHI,QB,98,16
james,robinson,JAC,RB,99,36
brandon,aiyuk,SF,WR,100,39
amon-ra,st. brown,DET,WR,101,40
cordarrelle,patterson,ATL,RB,102,37
christian,watson,GB,WR,103,41
zach,wilson,NYJ,QB,104,17
michael,carter,NYJ,RB,105,38
michael,thomas,NO,WR,106,42
tom,brady,TB,QB,107,18
mike,gesicki,MIA,TE,108,10
tyler,lockett,SEA,WR,109,43
derek,carr,LV,QB,110,19
brandin,cooks,HOU,WR,111,44
ronald,jones ii,KC,RB,112,39
skyy,moore,KC,WR,113,45
alexander,mattison,MIN,RB,114,40
devin,singletary,BUF,RB,115,41
kirk,cousins,MIN,QB,116,20
kadarius,toney,NYG,WR,117,46
calvin,ridley,ATL,WR,118,47
noah,fant,SEA,TE,119,11
mac,jones,NE,QB,120,21
darrell,henderson,LA,RB,121,42
rachaad,white,TB,RB,122,43
zach,ertz,ARI,TE,123,12
george,pickens,PIT,WR,124,48
rashaad,penny,SEA,RB,125,44
albert,okwuegbunam,DEN,TE,126,13
ryan,tannehill,TEN,QB,127,22
christian,kirk,JAC,WR,128,49
gus,edwards,BAL,RB,129,45
jameis,winston,NO,QB,130,23
michael,gallup,DAL,WR,131,50
jarvis,landry,NO,WR,132,51
j.d.,mckissic,WAS,RB,133,46
dawson,knox,BUF,TE,134,14
cole,kmet,CHI,TE,135,15
dameon,pierce,HOU,RB,136,47
kenny,pickett,PIT,QB,137,24
david,bell,CLE,WR,138,52
kenneth,gainwell,PHI,RB,139,48
rondale,moore,ARI,WR,140,53
trey,sermon,SF,RB,141,49
jakobi,meyers,NE,WR,142,54
khalil,herbert,CHI,RB,143,50
jahan,dotson,WAS,WR,144,55
hunter,henry,NE,TE,145,16
kenny,golladay,NYG,WR,146,56
matt,ryan,IND,QB,147,25
nyheim,hines,IND,RB,148,51
hunter,renfrow,LV,WR,149,57
tyler,boyd,CIN,WR,150,58
jared,goff,DET,QB,151,26
raheem,mostert,MIA,RB,152,52
david,njoku,CLE,TE,153,17
zamir,white,LV,RB,154,53
odell,beckham jr.,FA,WR,155,59
desmond,ridder,ATL,QB,156,27
tyler,allgeier,ATL,RB,157,54
robert,woods,TEN,WR,158,60
evan,engram,JAC,TE,159,18
adam,thielen,MIN,WR,160,61
carson,wentz,WAS,QB,161,28
jalen,tolbert,DAL,WR,162,62
isaiah,spiller,LAC,RB,163,55
daniel,jones,NYG,QB,164,29
irv,smith jr.,MIN,TE,165,19
d.j.,chark,DET,WR,166,63
d'ernest,johnson,CLE,RB,167,56
davis,mills,HOU,QB,168,30
gerald,everett,LAC,TE,169,20
brian,robinson,WAS,RB,170,57
alec,pierce,IND,WR,171,64
darrel,williams,ARI,RB,172,58
corey,davis,NYJ,WR,173,65
laviska,shenault,JAC,WR,174,66
malik,willis,TEN,QB,175,31
trey,mcbride,ARI,TE,176,21
myles,gaskin,MIA,RB,177,59
van,jefferson,LA,WR,178,67
russell,gage,TB,WR,179,68
d'onta,foreman,CAR,RB,180,60
logan,thomas,WAS,TE,181,22
marquez,valdes-scantling,KC,WR,182,69
samaje,perine,CIN,RB,183,61
justin,jackson,FA,RB,184,62
robby,anderson,CAR,WR,185,70
kenyan,drake,LV,RB,186,63
marcus,mariota,ATL,QB,187,32
tyler,higbee,LA,TE,188,23
pierre,strong,NE,RB,189,64
rob,gronkowski,FA,TE,190,24
allen,lazard,GB,WR,191,71
john,metchie,HOU,WR,192,72
ty,johnson,NYJ,RB,193,65
curtis,samuel,WAS,WR,194,73
mitchell,trubisky,PIT,QB,195,33
nico,collins,HOU,WR,196,74
greg,dulcich,DEN,TE,197,25
zack,moss,BUF,RB,198,66
matt,corral,CAR,QB,199,34
khalil,shakir,BUF,WR,200,75
josh,palmer,LAC,WR,201,76
wan'dale,robinson,NYG,WR,202,77
jaret,patterson,WAS,RB,203,67
marlon,mack,HOU,RB,204,68
