player_first_name,player_last_name,team_name,position,overall_rank,position_rank
jonathan,taylor,IND,RB,1,1
christian,mccaffrey,CAR,RB,2,2
austin,ekeler,LAC,RB,3,3
davante,adams,LVR,WR,4,1
alvin,kamara,NOS,RB,5,4
josh,jacobs,LVR,RB,6,5
leonard,fournette,TBB,RB,7,6
cooper,kupp,LAR,WR,8,2
deebo,samuel,SFO,WR,9,3
kareem,hunt,CLE,RB,10,7
dalvin,cook,MIN,RB,11,8
david,montgomery,CHI,RB,12,9
justin,jefferson,MIN,WR,13,4
mark,andrews,BAL,TE,14,1
joe,mixon,CIN,RB,15,10
diontae,johnson,PIT,WR,16,5
najee,harris,PIT,RB,17,11
antonio,gibson,WAS,RB,18,12
james,conner,ARI,RB,19,13
damien,harris,NEP,RB,20,14
saquon,barkley,NYG,RB,21,15
travis,kelce,KCC,TE,22,2
dj,moore,CAR,WR,23,6
ezekiel,elliott,DAL,RB,24,16
nick,chubb,CLE,RB,25,17
hunter,renfrow,LVR,WR,26,7
brandin,cooks,HOU,WR,27,8
chris,godwin,TBB,WR,28,9
stefon,diggs,BUF,WR,29,10
dk,metcalf,SEA,WR,30,11
james,robinson,JAC,RB,31,18
devin,singletary,BUF,RB,32,19
javonte,williams,DEN,RB,33,20
cordarrelle,patterson,ATL,RB,34,21
george,kittle,SFO,TE,35,3
aaron,jones,GBP,RB,36,22
chase,edmonds,MIA,RB,37,23
jaylen,waddle,MIA,WR,38,12
darnell,mooney,CHI,WR,39,13
darrel,williams,ARI,RB,40,24
derrick,henry,TEN,RB,41,25
michael,carter,NYJ,RB,42,26
dontrell,hilliard,TEN,RB,43,27
elijah,mitchell,SFO,RB,44,28
michael,pittman,IND,WR,45,14
josh,allen,BUF,QB,46,1
mike,williams,LAC,WR,47,15
zach,ertz,ARI,TE,48,4
jalen,hurts,PHI,QB,49,2
tee,higgins,CIN,WR,50,16
ceedee,lamb,DAL,WR,51,17
tyreek,hill,MIA,WR,52,18
marquise,brown,ARI,WR,53,19
aj,dillon,GBP,RB,54,29
cole,kmet,CHI,TE,55,5
robert,woods,TEN,WR,56,20
aaron,rodgers,GBP,QB,57,3
mike,davis,BAL,RB,58,30
justin,herbert,LAC,QB,59,4
keenan,allen,LAC,WR,60,21
mecole,hardman,KCC,WR,61,22
tom,brady,TBB,QB,62,5
kadarius,toney,NYG,WR,63,23
melvin,gordon,DEN,RB,64,31
christian,kirk,JAC,WR,65,24
dawson,knox,BUF,TE,66,6
mike,evans,TBB,WR,67,25
russell,gage,TBB,WR,68,26
tyler,lockett,SEA,WR,69,27
kyler,murray,ARI,QB,70,6
van,jefferson,LAR,WR,71,28
dalton,schultz,DAL,TE,72,7
sterling,shepard,NYG,WR,73,29
dallas,goedert,PHI,TE,74,8
patrick,mahomes,KCC,QB,75,7
devante,parker,NEP,WR,76,30
kyle,pitts,ATL,TE,77,9
darren,waller,LVR,TE,78,10
matthew,stafford,LAR,QB,79,8
kendrick,bourne,NEP,WR,80,31
mark,ingram,NOS,RB,81,32
laviska,shenault,CAR,WR,82,32
joe,burrow,CIN,QB,83,9
logan,thomas,WAS,TE,84,11
amari,cooper,CLE,WR,85,33
tyler,boyd,CIN,WR,86,34
deandre,hopkins,ARI,WR,87,35
darrell,henderson,LAR,RB,88,33
boston,scott,PHI,RB,89,34
brandon,aiyuk,SFO,WR,90,36
jarvis,landry,NOS,WR,91,37
rex,burkhead,HOU,RB,92,35
myles,gaskin,MIA,RB,93,36
tony,pollard,DAL,RB,94,37
daniel,jones,NYG,QB,95,10
elijah,moore,NYJ,WR,96,38
terry,mclaurin,WAS,WR,97,39
rashaad,penny,SEA,RB,98,38
ryan,tannehill,TEN,QB,99,11
chuba,hubbard,CAR,RB,100,39
ameer,abdullah,LVR,RB,101,40
clyde,edwards-helaire,KCC,RB,102,41
marquez,valdes-scantling,KCC,WR,103,40
adam,thielen,MIN,WR,104,41
kenny,golladay,NYG,WR,105,42
devonta,smith,PHI,WR,106,43
kirk,cousins,MIN,QB,107,12
julio,jones,TBB,WR,108,44
