player_first_name,player_last_name,team_name,position,overall_rank,position_rank
christian,mccaffrey,CAR,RB,1,1
jonathan,taylor,IND,RB,2,2
austin,ekeler,LAC,RB,3,3
cooper,kupp,LAR,WR,4,1
derrick,henry,TEN,RB,5,4
alvin,kamara,NO,RB,6,5
najee,harris,PIT,RB,7,6
joe,mixon,CIN,RB,8,7
dalvin,cook,MIN,RB,9,8
leonard,fournette,TB,RB,10,9
aaron,jones,GB,RB,11,10
travis,kelce,KC,TE,12,1
mark,andrews,BAL,TE,13,2
dandre,swift,DET,RB,14,11
justin,jefferson,MIN,WR,15,2
saquon,barkley,NYG,RB,16,12
james,conner,ARI,RB,17,13
javonte,williams,DEN,RB,18,14
josh,allen,BUF,QB,19,1
jamarr,chase,CIN,WR,20,3
davante,adams,LV,WR,21,4
david,montgomery,CHI,RB,22,15
nick,chubb,CLE,RB,23,16
ezekiel,elliott,DAL,RB,24,17
breece,hall,NYJ,RB,25,18
stefon,diggs,BUF,WR,26,5
deebo,samuel,SF,WR,27,6
cam,akers,LAR,RB,28,19
travis,etienne,JAC,RB,29,20
josh,jacobs,LV,RB,30,21
jk,dobbins,BAL,RB,31,22
patrick,mahomes,KC,QB,32,2
elijah,mitchell,SF,RB,33,23
miles,sanders,PHI,RB,34,24
ceedee,lamb,DAL,WR,35,7
tyreek,hill,MIA,WR,36,8
damien,harris,NE,RB,37,25
tony,pollard,DAL,RB,38,26
clyde,edwardshelaire,KC,RB,39,27
cordarrelle,patterson,ATL,RB,40,28
devin,singletary,BUF,RB,41,29
aj,dillon,GB,RB,42,30
antonio,gibson,WAS,RB,43,31
mike,evans,TB,WR,44,9
justin,herbert,LAC,QB,45,3
rhamondre,stevenson,NE,RB,46,32
chase,edmonds,MIA,RB,47,33
lamar,jackson,BAL,QB,48,4
kyler,murray,ARI,QB,49,5
jalen,hurts,PHI,QB,50,6
kareem,hunt,CLE,RB,51,34
rashaad,penny,SEA,RB,52,35
tee,higgins,CIN,WR,53,10
keenan,allen,LAC,WR,54,11
tom,brady,TB,QB,55,7
dak,prescott,DAL,QB,56,8
michael,pittman,IND,WR,57,12
brandin,cooks,HOU,WR,58,13
aj,brown,PHI,WR,59,14
dj,moore,CAR,WR,60,15
diontae,johnson,PIT,WR,61,16
melvin,gordon,DEN,RB,62,36
joe,burrow,CIN,QB,63,9
darren,waller,LV,TE,64,3
kyle,pitts,ATL,TE,65,4
mike,williams,LAC,WR,66,17
dalton,schultz,DAL,TE,67,5
jaylen,waddle,MIA,WR,68,18
aaron,rodgers,GB,QB,69,10
matthew,stafford,LAR,QB,70,11
trey,lance,SF,QB,71,12
george,kittle,SF,TE,72,6
russell,wilson,DEN,QB,73,13
amonra,st. brown,DET,WR,74,19
dk,metcalf,SEA,WR,75,20
michael,thomas,NO,WR,76,21
terry,mclaurin,WAS,WR,77,22
kirk,cousins,MIN,QB,78,14
derek,carr,LV,QB,79,15
chris,godwin,TB,WR,80,23
darnell,mooney,CHI,WR,81,24
jerry,jeudy,DEN,WR,82,25
courtland,sutton,DEN,WR,83,26
gabriel,davis,BUF,WR,84,27
hunter,renfrow,LV,WR,85,28
tyler,lockett,SEA,WR,86,29
juju,smithschuster,KC,WR,87,30
marquise,brown,ARI,WR,88,31
adam,thielen,MIN,WR,89,32
amari,cooper,CLE,WR,90,33
allen,robinson,LAR,WR,91,34
elijah,moore,NYJ,WR,92,35
robert,woods,TEN,WR,93,36
rashod,bateman,BAL,WR,94,37
michael,carter,NYJ,RB,95,37
dallas,goedert,PHI,TE,96,7
james,robinson,JAC,RB,97,38
james,cook,BUF,RB,98,39
brian,robinson,WAS,RB,99,40
dameon,pierce,HOU,RB,100,41
nyheim,hines,IND,RB,101,42
darrell,henderson,LAR,RB,102,43
ken,walker,SEA,RB,103,44
kenneth,gainwell,PHI,RB,104,45
jd,mckissic,WAS,RB,105,46
jamaal,williams,DET,RB,106,47
tua,tagovailoa,MIA,QB,107,16
tj,hockenson,DET,TE,108,8
ryan,tannehill,TEN,QB,109,17
trevor,lawrence,JAC,QB,110,18
justin,fields,CHI,QB,111,19
alexander,mattison,MIN,RB,112,48
christian,kirk,JAC,WR,113,38
raheem,mostert,MIA,RB,114,49
daniel,jones,NYG,QB,115,20
matt,ryan,IND,QB,116,21
mac,jones,NE,QB,117,22
jameis,winston,NO,QB,118,23
carson,wentz,WAS,QB,119,24
jared,goff,DET,QB,120,25
zach,wilson,NYJ,QB,121,26
baker,mayfield,CAR,QB,122,27
davis,mills,HOU,QB,123,29
marcus,mariota,ATL,QB,124,29
mark,ingram,NO,RB,125,50
isaiah,spiller,LAC,RB,126,51
chase,claypool,PIT,WR,127,39
devonta,smith,PHI,WR,128,40
zach,ertz,ARI,TE,129,9
rex,burkhead,HOU,RB,130,52
brandon,aiyuk,SF,WR,131,41
drake,london,ATL,WR,132,42
jakobi,meyers,NE,WR,133,43
treylon,burks,TEN,WR,134,44
tyler,allgeier,ATL,RB,135,53
rachaad,white,TB,RB,136,54
gus,edwards,BAL,RB,137,55
allen,lazard,GB,WR,138,45
mike,gesicki,MIA,TE,139,10
hunter,henry,NE,TE,140,11
darrel,williams,ARI,RB,141,56
noah,fant,SEA,TE,142,12
pat,freiermuth,PIT,TE,143,13
tyler,higbee,LAR,TE,144,14
cole,kmet,CHI,TE,145,15
dawson,knox,BUF,TE,146,16
kadarius,toney,NYG,WR,147,46
david,njoku,CLE,TE,148,17
gerald,everett,LAC,TE,149,18
russell,gage,TB,WR,150,47
mecole,hardman,KC,WR,151,48
deandre,hopkins,ARI,WR,152,49
tyler,boyd,CIN,WR,153,50
irv,smith,MIN,TE,154,19
khalil,herbert,CHI,RB,155,57
jerick,mckinnon,KC,RB,156,58
kenny,golladay,NYG,WR,157,51
devante,parker,NE,WR,158,52
jarvis,landry,NO,WR,159,53
robbie,anderson,CAR,WR,160,54
