player_first_name,player_last_name,team_name,position,overall_rank,position_rank
najee,harris,PIT,RB,1,1
tyreek,hill,MIA,WR,2,1
jonathan,taylor,IND,RB,3,2
joe,mixon,CIN,RB,4,3
austin,ekeler,LAC,RB,5,4
davante,adams,LV,WR,6,2
dalvin,cook,MIN,RB,7,5
mike,evans,TB,WR,8,3
clyde,edwards-helaire,KC,RB,9,6
javonte,williams,DEN,RB,10,7
ja'marr,chase,CIN,WR,11,4
d'andre,swift,DET,RB,12,8
nick,chubb,CLE,RB,13,9
a.j.,brown,PHI,WR,14,5
justin,jefferson,MIN,WR,15,6
stefon,diggs,BUF,WR,16,7
travis,etienne,JAC,RB,17,10
adam,thielen,MIN,WR,18,8
michael,pittman,IND,WR,19,9
alvin,kamara,NO,RB,20,11
josh,jacobs,LV,RB,21,12
aaron,jones,GB,RB,22,13
chris,godwin,TB,WR,23,10
d.j.,moore,CAR,WR,24,11
saquon,barkley,NYG,RB,25,14
ceedee,lamb,DAL,WR,26,12
gabriel,davis,BUF,WR,27,13
travis,kelce,KC,TE,28,1
keenan,allen,LAC,WR,29,14
kareem,hunt,CLE,RB,30,15
leonard,fournette,TB,RB,31,16
j.k.,dobbins,BAL,RB,32,17
derrick,henry,TEN,RB,33,18
breece,hall,NYJ,RB,34,19
chris,olave,NO,WR,35,15
josh,allen,BUF,QB,36,1
kyler,murray,ARI,QB,37,2
patrick,mahomes,KC,QB,38,3
christian,mccaffrey,CAR,RB,39,20
david,montgomery,CHI,RB,40,21
elijah,mitchell,SF,RB,41,22
james,robinson,JAC,RB,42,23
deebo,samuel,SF,WR,43,16
ezekiel,elliott,DAL,RB,44,24
aaron,rodgers,GB,QB,45,4
jalen,hurts,PHI,QB,46,5
amari,cooper,CLE,WR,47,17
d.k.,metcalf,SEA,WR,48,18
justin,herbert,LAC,QB,49,6
brandon,aiyuk,SF,WR,50,19
diontae,johnson,PIT,WR,51,20
allen,lazard,GB,WR,52,21
courtland,sutton,DEN,WR,53,22
elijah,moore,NYJ,WR,54,23
rashod,bateman,BAL,WR,55,24
hunter,renfrow,LV,WR,56,25
marquise,brown,ARI,WR,57,26
kirk,cousins,MIN,QB,58,7
miles,sanders,PHI,RB,59,25
rashaad,penny,SEA,RB,60,26
matthew,stafford,LAR,QB,61,8
jerry,jeudy,DEN,WR,62,27
zamir,white,LV,RB,63,27
james,cook,BUF,RB,64,28
christian,kirk,JAC,WR,65,28
romeo,doubs,GB,WR,66,29
jaylen,waddle,MIA,WR,67,30
isiah,pacheco,KC,RB,68,29
michael,gallup,DAL,WR,69,31
darren,waller,LV,TE,70,2
robert,woods,TEN,WR,71,32
tee,higgins,CIN,WR,72,33
skyy,moore,KC,WR,73,34
joe,burrow,CIN,QB,74,9
dak,prescott,DAL,QB,75,10
alexander,mattison,MIN,RB,76,30
deandre,hopkins,ARI,WR,77,35
drake,london,ATL,WR,78,36
darrell,henderson,LAR,RB,79,31
kyle,pitts,ATL,TE,80,3
chase,edmonds,MIA,RB,81,32
james,conner,ARI,RB,82,33
damien,harris,NE,RB,83,34
allen,robinson,LAR,WR,84,37
a.j.,dillon,GB,RB,85,35
devonta,smith,PHI,WR,86,38
tony,pollard,DAL,RB,87,36
tyler,lockett,SEA,WR,88,39
cam,akers,LAR,RB,89,37
cooper,kupp,LAR,WR,90,40
kadarius,toney,NYG,WR,91,41
michael,thomas,NO,WR,92,42
kenneth,walker,SEA,RB,93,38
tyler,allgeier,ATL,RB,94,39
dameon,pierce,HOU,RB,95,40
rhamondre,stevenson,NE,RB,96,41
mark,andrews,BAL,TE,97,4
brian,robinson,WAS,RB,98,42
julio,jones,TB,WR,99,43
tom,brady,TB,QB,100,11
devante,parker,NE,WR,101,44
devin,singletary,BUF,RB,102,43
kenneth,gainwell,PHI,RB,103,44
melvin,gordon,DEN,RB,104,45
tyler,boyd,CIN,WR,105,45
darnell,mooney,CHI,WR,106,46
brandin,cooks,HOU,WR,107,47
nyheim,hines,IND,RB,108,46
treylon,burks,TEN,WR,109,48
antonio,gibson,WAS,RB,110,47
terry,mclaurin,WAS,WR,111,49
michael,carter,NYJ,RB,112,48
rachaad,white,TB,RB,113,49
j.d.,mckissic,WAS,RB,114,50
george,kittle,SF,TE,115,5
mike,williams,LAC,WR,116,50
lamar,jackson,BAL,QB,117,12
amon-ra,st. brown,DET,WR,118,51
juju,smith-schuster,KC,WR,119,52
marquez,valdes-scantling,KC,WR,120,53
russell,wilson,DEN,QB,121,13
chase,claypool,PIT,WR,122,54
t.j.,hockenson,DET,TE,123,6
derek,carr,LV,QB,124,14
cole,kmet,CHI,TE,125,7
pat,freiermuth,PIT,TE,126,8
zach,ertz,ARI,TE,127,9
cordarrelle,patterson,ATL,WR,128,55
dawson,knox,BUF,TE,129,10
raheem,mostert,MIA,RB,130,51
matt,ryan,IND,QB,131,15
dallas,goedert,PHI,TE,132,11
dalton,schultz,DAL,TE,133,12
george,pickens,PIT,WR,134,56
rondale,moore,ARI,WR,135,57
justin,fields,CHI,QB,136,16
trey,lance,SF,QB,137,17
tua,tagovailoa,MIA,QB,138,18
trevor,lawrence,JAC,QB,139,19
hunter,henry,NE,TE,140,13
jameis,winston,NO,QB,141,20
irv,smith,MIN,TE,142,14
robert,tonyan,GB,TE,143,15
jahan,dotson,WAS,WR,144,58
isaiah,mckenzie,BUF,WR,145,59
nico,collins,HOU,WR,146,60
,bills,BUF,D/ST,147,1
,packers,GB,D/ST,148,2
,saints,NO,D/ST,149,3
,buccaneers,TB,D/ST,150,4
,ravens,BAL,D/ST,151,5
,49ers,SF,D/ST,152,6
,cowboys,DAL,D/ST,153,7
,colts,IND,D/ST,154,8
,steelers,PIT,D/ST,155,9
,dolphins,MIA,D/ST,156,10
justin,tucker,BAL,K,157,1
evan,mcpherson,CIN,K,158,2
matt,gay,LAR,K,159,3
harrison,butker,KC,K,160,4
daniel,carlson,LV,K,161,5
brandon,mcmanus,DEN,K,162,6
nick,folk,NE,K,163,7
tyler,bass,BUF,K,164,8
matt,prater,ARI,K,165,9
graham,gano,NYG,K,166,10
,chargers,LAC,D/ST,167,11
,commanders,WAS,D/ST,168,12
greg,joseph,MIN,K,169,11
jake,elliott,PHI,K,170,12
,browns,CLE,D/ST,171,13
,eagles,PHI,D/ST,172,14
robbie,gould,SF,K,173,13
ryan,succop,TB,K,174,14
,bengals,CIN,D/ST,175,15
,patriots,NE,D/ST,176,16
dustin,hopkins,LAC,K,177,15
mason,crosby,GB,K,178,16
,rams,LAR,D/ST,179,17
,titans,TEN,D/ST,180,18
chris,boswell,PIT,K,181,17
younghoe,koo,BAL,K,182,18
,broncos,DEN,D/ST,183,19
,vikings,MIN,D/ST,184,20
,panthers,CAR,D/ST,185,21
,giants,NYG,D/ST,186,22
