player_first_name,player_last_name,team_name,position,overall_rank,position_rank
cooper,kupp,LA,WR,1,1
jonathan,taylor,IND,RB,2,1
deebo,samuel,SF,WR,3,2
austin,ekeler,LAC,RB,4,2
davante,adams,LV,WR,5,3
josh,allen,BUF,QB,6,1
jalen,hurts,PHI,QB,7,2
justin,jefferson,MIN,WR,8,4
jamarr,chase,CIN,WR,9,5
derrick,henry,TEN,RB,10,3
kyler,murray,ARI,QB,11,3
aaron,rodgers,GB,QB,12,4
mark,andrews,BAL,TE,13,1
dak,prescott,DAL,QB,14,5
joe,burrow,CIN,QB,15,6
najee,harris,PIT,RB,16,4
joe,mixon,CIN,RB,17,5
diontae,johnson,PIT,WR,18,6
tyreek,hill,MIA,WR,19,7
travis,kelce,KC,TE,20,2
matthew,stafford,LA,QB,21,7
alvin,kamara,NO,RB,22,6
leonard,fournette,TB,RB,23,7
james,conner,ARI,RB,24,8
dalvin,cook,MIN,RB,25,9
kirk,cousins,MIN,QB,26,8
chris,godwin,TB,WR,27,8
nick,chubb,CLE,RB,28,10
josh,jacobs,LV,RB,29,11
hunter,renfrow,LV,WR,30,9
lamar,jackson,BAL,QB,31,9
tyler,lockett,SEA,WR,32,10
christian,mccaffrey,CAR,RB,33,12
ryan,tannehill,TEN,QB,34,10
george,kittle,SF,TE,35,3
dandre,swift,DET,RB,36,13
brandin,cooks,HOU,WR,37,11
jaylen,waddle,MIA,WR,38,12
dj,moore,CAR,WR,39,13
amonra,stbrown,DET,WR,40,14
russell,wilson,DEN,QB,41,11
stefon,diggs,BUF,WR,42,15
aaron,jones,GB,RB,43,14
justin,herbert,LAC,QB,44,12
david,montgomery,CHI,RB,45,15
mike,evans,TB,WR,46,16
tee,higgins,CIN,WR,47,17
darnell,mooney,CHI,WR,48,18
michael,pittman,IND,WR,49,19
mike,williams,LAC,WR,50,20
keenan,allen,LAC,WR,51,21
marquise,brown,ARI,WR,52,22
jimmy,garoppolo,SF,QB,53,13
cordarrelle,patterson,ATL,RB,54,16
elijah,mitchell,SF,RB,55,17
patrick,mahomes,KC,QB,56,14
aj,brown,PHI,WR,57,23
carson,wentz,WAS,QB,58,15
adam,thielen,MIN,WR,59,24
ceedee,lamb,DAL,WR,60,25
antonio,gibson,WAS,RB,61,18
dk,metcalf,SEA,WR,62,26
derek,carr,LV,QB,63,16
ezekiel,elliott,DAL,RB,64,19
dallas,goedert,PHI,TE,65,4
dalton,schultz,DAL,TE,66,5
damien,harris,NE,RB,67,20
terry,mclaurin,WAS,WR,68,27
teddy,bridgewater,MIA,QB,69,17
taylor,heinicke,WAS,QB,70,18
drake,london,ATL,WR,71,28
tua,tagovailoa,MIA,QB,72,19
garrett,wilson,NYJ,WR,73,29
matt,ryan,IND,QB,74,20
james,robinson,JAX,RB,75,21
melvin,gordon,DEN,RB,76,22
javonte,williams,DEN,RB,77,23
kyle,pitts,ATL,TE,78,6
amari,cooper,CLE,WR,79,30
mac,jones,NE,QB,80,21
tj,hockenson,DET,TE,81,7
darrel,williams,ARI,RB,82,24
zach,ertz,ARI,TE,83,8
daniel,jones,NYG,QB,84,22
chase,claypool,PIT,WR,85,31
robert,woods,TEN,WR,86,32
russell,gage,TB,WR,87,33
darren,waller,LV,TE,88,9
jared,goff,DET,QB,89,23
saquon,barkley,NYG,RB,90,25
deandre,hopkins,ARI,WR,91,34
christian,kirk,JAX,WR,92,35
kendrick,bourne,NE,WR,93,36
marvin,jones,JAX,WR,94,37
trevor,lawrence,JAX,QB,95,24
tyler,boyd,CIN,WR,96,38
darrell,henderson,LA,RB,97,26
treylon,burks,TEN,WR,98,39
devin,singletary,BUF,RB,99,27
jakobi,meyers,NE,WR,100,40
devonta,smith,PHI,WR,101,41
tom,brady,TB,QB,102,25
kenneth,walker,SEA,RB,103,28
baker,mayfield,CAR,QB,104,26
christian,watson,GB,WR,105,42
jameis,winston,NO,QB,106,27
dawson,knox,BUF,TE,107,10
elijah,moore,NYJ,WR,108,43
jarvis,landry,NO,WR,109,44
kareem,hunt,CLE,RB,110,29
michael,carter,NYJ,RB,111,30
jameson,williams,DET,WR,112,45
jd,mckissic,WAS,RB,113,31
kristian,wilkerson,NE,WR,114,46
aj,dillon,GB,RB,115,32
devante,parker,NE,WR,116,47
chase,edmonds,MIA,RB,117,33
kenny,pickett,PIT,QB,118,28
breece,hall,NYJ,RB,119,34
brandon,aiyuk,SF,WR,120,48
hunter,henry,NE,TE,121,11
corey,davis,NYJ,WR,122,49
mike,gesicki,MIA,TE,123,12
george,pickens,PIT,WR,124,50
clyde,edwardshelaire,KC,RB,125,35
noah,fant,SEA,TE,126,13
rashaad,penny,SEA,RB,127,36
sam,darnold,CAR,QB,128,29
trevor,siemian,CHI,QB,129,30
tyler,higbee,LA,TE,130,14
tony,pollard,DAL,RB,131,37
boston,scott,PHI,RB,132,38
davis,mills,HOU,QB,133,31
pat,freiermuth,PIT,TE,134,15
zach,wilson,NYJ,QB,135,32
sterling,shepard,NYG,WR,136,51
myles,gaskin,MIA,RB,137,39
van,jefferson,LA,WR,138,52
chris,olave,NO,WR,139,53
cyril,grayson,TB,WR,140,54
nan,bills,BUF,D/ST,141,1
cedrick,wilson,MIA,WR,142,55
nan,packers,GB,D/ST,143,2
tyrod,taylor,NYG,QB,144,33
nan,saints,NO,D/ST,145,3
velus,jones,CHI,WR,146,56
wandale,robinson,NYG,WR,147,57
nan,buccaneers,tb,D/ST,148,4
tim,patrick,DEN,WR,149,58
nan,ravens,BAL,D/ST,150,5
nan,ers,SF,D/ST,151,6
logan,thomas,WAS,TE,152,16
nan,cowboys,DAL,D/ST,153,7
aj,green,ARI,WR,154,59
donta,foreman,CAR,RB,155,40
nan,colts,IND,D/ST,156,8
nan,steelers,PIT,D/ST,157,9
tyler,conklin,NYJ,TE,158,17
allen,lazard,GB,WR,159,60
nan,dolphins,MIA,D/ST,160,10
justin,tucker,BAL,K,161,1
gerald,everett,LAC,TE,162,18
evan,mcpherson,CIN,K,163,2
cj,uzomah,NYJ,TE,164,19
matt,gay,LAR,K,165,3
trey,mcbride,ARI,TE,166,20
david,njoku,CLE,TE,167,21
harrison,butker,KC,K,168,4
daniel,carlson,LV,K,169,5
jahan,dotson,WAS,WR,170,61
justin,fields,CHI,QB,171,34
brandon,mcmanus,DEN,K,172,6
nick,folk,NE,K,173,7
duke,johnson,BUF,RB,174,41
tyler,bass,BUF,K,175,8
evan,engram,JAX,TE,176,22
matt,prater,ARI,K,177,9
cole,kmet,CHI,TE,178,23
kj,osborn,MIN,WR,179,62
graham,gano,NYG,K,180,10
dj,chark,DET,WR,181,63
laviska,shenault,CAR,WR,182,64
miles,sanders,PHI,RB,183,42
robby,anderson,CAR,WR,184,65
michael,gallup,DAL,WR,185,66
skyy,moore,KC,WR,186,67
tyquan,thornton,NE,WR,187,68
dante,pettis,CHI,WR,188,69
dontrell,hilliard,TEN,RB,189,43
tyler,huntley,BAL,QB,190,35
nick,foles,IND,QB,191,36
kalif,raymond,DET,WR,192,70
mecole,hardman,KC,WR,193,71
brian,robinson,WAS,RB,194,44
marquez,callaway,NO,WR,195,72
rhamondre,stevenson,NE,RB,196,45
deonte,harty,NO,WR,197,73
alec,pierce,IND,WR,198,74
rondale,moore,ARI,WR,199,75
jamal,agnew,JAX,WR,200,76
john,metchie,HOU,WR,201,77
jamison,crowder,BUF,WR,202,78
braxton,berrios,NYJ,WR,203,79
james,cook,BUF,RB,204,46
nyheim,hines,IND,RB,205,47
donovan,peoplesjones,CLE,WR,206,80
kadarius,toney,NYG,WR,207,81
gabe,davis,BUF,WR,208,82
alexander,mattison,MIN,RB,209,48
nan,chargers,LAC,D/ST,210,11
nan,commanders,WAS,D/ST,211,12
byron,pringle,CHI,WR,212,83
brandon,bolden,LV,RB,213,49
greg,joseph,MIN,K,214,11
kenneth,gainwell,PHI,RB,215,50
jake,elliott,PHI,K,216,12
geno,smith,SEA,QB,217,37
jamaal,williams,DET,RB,218,51
chuba,hubbard,CAR,RB,219,52
james,white,NE,RB,220,53
courtland,sutton,DEN,WR,221,84
ty,johnson,NYJ,RB,222,54
sony,michel,LAC,RB,223,55
chris,carson,SEA,RB,224,56
zack,moss,BUF,RB,225,57
mike,davis,BAL,RB,226,58
nick,westbrookikhine,TEN,WR,227,85
nelson,agholor,NE,WR,228,86
mark,ingram,NO,RB,229,59
zay,jones,JAX,WR,230,87
bryan,edwards,ATL,WR,231,88
quez,watkins,PHI,WR,232,89
kenny,golladay,NYG,WR,233,90
rashod,bateman,BAL,WR,234,91
rex,burkhead,HOU,RB,235,60
pierre,strong,NE,RB,236,61
dernest,johnson,CLE,RB,237,62
kenyan,drake,BAL,RB,238,63
isaiah,spiller,LAC,RB,239,64
andy,dalton,NO,QB,240,38
sean,mannion,SEA,QB,241,39
taysom,hill,NO,QB,242,40
mike,white,NYJ,QB,243,41
josh,johnson,DEN,QB,244,42
gardner,minshew,PHI,QB,245,43
nan,browns,CLE,D/ST,246,13
joe,flacco,NYJ,QB,247,44
nan,eagles,PHI,D/ST,248,14
trey,lance,SF,QB,249,45
robbie,gould,SF,K,250,13
ryan,succop,TB,K,251,14
jacoby,brissett,CLE,QB,252,46
nick,mullens,MIN,QB,253,47
desmond,ridder,ATL,QB,254,48
nan,bengals,CIN,D/ST,255,15
nan,patriots,NE,D/ST,256,16
dustin,hopkins,LAC,K,257,15
mason,crosby,GB,K,258,16
nan,rams,LAR,D/ST,259,17
nan,titans,TEN,D/ST,260,18
chris,boswell,PIT,K,261,17
younghoe,koo,BAL,K,262,18
nan,broncos,DEN,D/ST,263,19
nan,vikings,MIN,D/ST,264,20
nan,panthers,CAR,D/ST,265,21
nan,giants,NYG,D/ST,266,22
