player_first_name,player_last_name,team_name,position,overall_rank,position_rank
Christian,McCaffrey,CAR,RB,1,1
Cooper,Kupp,LA,WR,2,1
JK,Dobbins,BAL,RB,3,2
Davante,Adams,LV,WR,4,2
Alvin,Kamara,NO,RB,5,3
Jonathan,Taylor,IND,RB,6,4
Justin,Jefferson,MIN,WR,7,3
Brandon,Aiyuk,SF,WR,8,4
Dalvin,Cook,MIN,RB,9,5
Jaylen,Waddle,MIA,WR,10,5
Deebo,Samuel,SF,WR,11,6
Ezekiel,Elliott,DAL,RB,12,6
Mike,Evans,TB,WR,13,7
Tyreek,Hill,MIA,WR,14,8
AJ,Brown,PHI,WR,15,9
Keenan,Allen,LAC,WR,16,10
Austin,Ekeler,LAC,RB,17,7
Aaron,Jones,GB,RB,18,8
Najee,Harris,PIT,RB,19,9
Michael,Thomas,NO,WR,20,11
D'Andre,Swift,DET,RB,21,10
Kareem,Hunt,CLE,RB,22,11
Chase,Claypool,PIT,WR,23,12
Elijah,Moore,NYJ,WR,24,13
Nick,Chubb,CLE,RB,25,12
Chris,Godwin,TB,WR,26,14
Stefon,Diggs,BUF,WR,27,15
JuJu,Smith-Schuster,KC,WR,28,16
Leonard,Fournette,TB,RB,29,13
Julio,Jones,TB,WR,30,17
Damien,Harris,NE,RB,31,14
Melvin,Gordon,DEN,RB,32,15
Antonio,Gibson,WAS,RB,33,16
Ke'Shawn,Vaughn,TB,RB,34,17
Adam,Thielen,MIN,WR,35,18
Robert,Woods,TEN,WR,36,19
Diontae,Johnson,PIT,WR,37,20
Elijah,Mitchell,SF,RB,38,18
DJ,Moore,CAR,WR,39,21
Tee,Higgins,CIN,WR,40,22
DK,Metcalf,SEA,WR,41,23
Josh,Jacobs,LV,RB,42,19
Amari,Cooper,CLE,WR,43,24
Jarvis,Landry,NO,WR,44,25
Brandin,Cooks,HOU,WR,45,26
James,Robinson,JAX,RB,46,20
Sterling,Shepard,NYG,WR,47,27
Joe,Mixon,CIN,RB,48,21
Amon-Ra,St. Brown,DET,WR,49,28
James,Conner,ARI,RB,50,22
David,Montgomery,CHI,RB,51,23
AJ,Green,ARI,WR,52,29
Ja'Marr,Chase,CIN,WR,53,30
Tyler,Boyd,CIN,WR,54,31
DeVante,Parker,NE,WR,55,32
Terry,McLaurin,WAS,WR,56,33
