player_first_name,player_last_name,team,position,position_rank,overall_rank
joshua,allen,BUF,QB,1,1
tom,brady,TB,QB,2,2
patrick,mahomes,KC,QB,3,3
christian,mccaffrey,CAR,RB,1,4
justin,jefferson,MIN,WR,1,5
justin,herbert,LAC,QB,4,6
jonathan,taylor,IND,RB,2,7
austin,ekeler,LAC,RB,3,8
aaron,rodgers,GB,QB,5,9
jalen,hurts,PHI,QB,6,10
alvin,kamara,NO,RB,4,11
mike,evans,TB,WR,2,12
kyler,murray,ARI,QB,7,13
joe,burrow,CIN,QB,8,14
kirk,cousins,MIN,QB,9,15
najee,harris,PIT,RB,5,16
diontae,johnson,PIT,WR,3,17
lamar,jackson,BAL,QB,10,18
derrick,henry,TEN,RB,6,19
travis,kelce,KC,TE,1,20
adam,thielen,MIN,WR,4,21
ezekiel,elliott,DAL,RB,7,22
jameis,winston,NO,QB,11,23
ryan,tannehill,TEN,QB,12,24
brandin,cooks,HOU,WR,5,25
leonard,fournette,TB,RB,8,26
antonio,gibson,WAS,RB,9,27
james,conner,ARI,RB,10,28
mark,andrews,BAL,TE,2,29
aaron,jones,GB,RB,11,30
dalvin,cook,MIN,RB,12,31
hunter,renfrow,LV,WR,6,32
derek,carr,LV,QB,13,33
daniel,jones,NYG,QB,14,34
cordarrelle,patterson,ATL,RB,13,35
stefon,diggs,BUF,WR,7,36
damien,harris,NE,RB,14,37
joe,mixon,CIN,RB,15,38
tua,tagovailoa,MIA,QB,15,39
michael,pittman,IND,WR,8,40
deandre,hopkins,ARI,WR,9,41
jared,goff,DET,QB,16,42
jaylen,waddle,MIA,WR,10,43
kareem,hunt,CLE,RB,16,44
dalton,schultz,DAL,TE,3,45
elijah,mitchell,SF,RB,17,46
darren,waller,LV,TE,4,47
michael,gallup,DAL,WR,11,48
jakobi,meyers,NE,WR,12,49
david,montgomery,CHI,RB,18,50
brandon,aiyuk,SF,WR,13,51
darnell,mooney,CHI,WR,14,52
dallas,goedert,PHI,TE,5,53
logan,thomas,WAS,TE,6,54
devin,singletary,BUF,RB,19,55
george,kittle,SF,TE,7,56
gabriel,davis,BUF,WR,15,57
boston,scott,PHI,RB,20,58
davis,mills,HOU,QB,17,59
melvin,gordon,DEN,RB,21,60
tyler,lockett,SEA,WR,16,61
saquon,barkley,NYG,RB,22,62
craig,reynolds,DET,RB,23,63
terry,mclaurin,WAS,WR,17,64
tyler,boyd,CIN,WR,18,65
trey,lance,SF,QB,18,66
devonta,smith,PHI,WR,19,67
dawson,knox,BUF,TE,8,68
javonte,williams,DEN,RB,24,69
rashod,bateman,BAL,WR,20,70
chuba,hubbard,CAR,RB,25,71
kyle,pitts,ATL,TE,9,72
jamaal,williams,DET,RB,26,73
pat,freiermuth,PIT,TE,10,74
hunter,henry,NE,TE,11,75
jerry,jeudy,DEN,WR,21,76
kendrick,bourne,NE,WR,22,77
rhamondre,stevenson,NE,RB,27,78
chase,claypool,PIT,WR,23,79
tony,pollard,DAL,RB,28,80
braxton,berrios,NYJ,WR,24,81
mecole,hardman,KC,WR,25,82
myles,gaskin,MIA,RB,29,83
dontrell,hilliard,TEN,RB,30,84
kenneth,gainwell,PHI,RB,31,85
miles,sanders,PHI,RB,32,86
allen,lazard,GB,WR,26,87
brevin,jordan,HOU,TE,12,88
kadarius,toney,NYG,WR,27,89
rashaad,penny,SEA,RB,33,90
cole,kmet,CHI,TE,13,91
rondale,moore,ARI,WR,28,92
courtland,sutton,DEN,WR,29,93
mark,ingram,NO,RB,34,94
sterling,shepard,NYG,WR,30,95
jerick,mckinnon,KC,RB,35,96
randall,cobb,GB,WR,31,97
nyheim,hines,IND,RB,36,98
cameron,brate,TB,TE,14,99
albert,okwuegbunam,DEN,TE,15,100
david,njoku,CLE,TE,16,101
nico,collins,HOU,WR,32,102
devin,duvernay,BAL,WR,33,103
robert,tonyan,GB,TE,17,104
nelson,agholor,NE,WR,34,105
parris,campbell,IND,WR,35,106
josh,palmer,LAC,WR,36,107
alexander,mattison,MIN,RB,37,108
tommy,tremble,CAR,TE,18,109
samaje,perine,CIN,RB,38,110
jonnu,smith,NE,TE,19,111
eno,benjamin,ARI,RB,39,112
isaiah,mckenzie,BUF,WR,37,113
giovani,bernard,TB,RB,40,114
chris,evans,CIN,RB,41,115
khalil,herbert,CHI,RB,42,116
joshua,kelley,LAC,RB,43,117
deon,jackson,IND,RB,44,118
curtis,samuel,WAS,WR,38,119
