player_first_name,player_last_name,team_name,position,overall_rank,position_rank
jonathan,taylor,IND,RB,1,1
austin,ekeler,LAC,RB,2,2
najee,harris,PIT,RB,3,3
joe,mixon,CIN,RB,4,4
alvin,kamara,NO,RB,5,5
aaron,jones,GB,RB,6,6
ezekiel,elliott,DAL,RB,7,7
derrick,henry,TEN,RB,8,8
dandre,swift,DET,RB,9,9
nick,chubb,CLE,RB,10,10
javonte,williams,DEN,RB,11,11
josh,jacobs,LV,RB,12,12
christian,mccaffrey,CAR,RB,13,13
saquon,barkley,NYG,RB,14,14
travis,etienne,JAX,RB,15,15
cam,akers,LA,RB,16,16
damien,harris,NE,RB,17,17
aj,dillon,GB,RB,18,18
james,conner,ARI,RB,19,19
devin,singletary,BUF,RB,20,20
melvin,gordon,DEN,RB,21,21
tyler,allgeier,ATL,RB,22,22
antonio,gibson,WAS,RB,23,23
chase,edmonds,MIA,RB,24,24
rachaad,white,TB,RB,25,25
tony,pollard,DAL,RB,26,26
isiah,pacheco,KC,RB,27,27
clyde,edwardshelaire,KC,RB,28,28
miles,sanders,PHI,RB,29,29
leonard,fournette,TB,RB,30,30
darrell,henderson,LA,RB,31,31
kareem,hunt,CLE,RB,32,32
dameon,pierce,HOU,RB,33,33
nyheim,hines,IND,RB,34,34
michael,carter,NYJ,RB,35,35
breece,hall,NYJ,RB,36,36
james,cook,BUF,RB,37,37
jd,mckissic,WAS,RB,38,38
jk,dobbins,BAL,RB,39,39
jamaal,williams,DET,RB,40,40
rashaad,penny,SEA,RB,41,41
kenneth,gainwell,PHI,RB,42,42
isaiah,spiller,LAC,RB,43,43
elijah,mitchell,SF,RB,44,44
rhamondre,stevenson,NE,RB,45,45
cooper,kupp,LA,WR,46,1
justin,jefferson,MIN,WR,47,2
jamarr,chase,CIN,WR,48,3
deebo,samuel,SF,WR,49,4
stefon,diggs,BUF,WR,50,5
mike,evans,TB,WR,51,6
tyreek,hill,MIA,WR,52,7
keenan,allen,LAC,WR,53,8
ceedee,lamb,DAL,WR,54,9
diontae,johnson,PIT,WR,55,10
michael,pittman,IND,WR,56,11
mike,williams,LAC,WR,57,12
dj,moore,CAR,WR,58,13
dk,metcalf,SEA,WR,59,14
tee,higgins,CIN,WR,60,15
chris,godwin,TB,WR,61,16
juju,smithschuster,KC,WR,62,17
terry,mclaurin,WAS,WR,63,18
hunter,renfrow,LV,WR,64,19
allen,lazard,GB,WR,65,20
aj,brown,PHI,WR,66,21
brandin,cooks,HOU,WR,67,22
darnell,mooney,CHI,WR,68,23
adam,thielen,MIN,WR,69,24
marquise,brown,ARI,WR,70,25
rashod,bateman,BAL,WR,71,26
allen,robinson,LA,WR,72,27
courtland,sutton,DEN,WR,73,28
davante,adams,LV,WR,74,29
michael,thomas,NO,WR,75,30
tyler,lockett,SEA,WR,76,31
gabriel,davis,BUF,WR,77,32
jerry,jeudy,DEN,WR,78,33
brandon,aiyuk,SF,WR,79,34
robert,woods,TEN,WR,80,35
christian,kirk,JAX,WR,81,36
michael,gallup,DAL,WR,82,37
deandre,hopkins,ARI,WR,83,38
jaylen,waddle,MIA,WR,84,39
drake,london,ATL,WR,85,40
amonra,stbrown,DET,WR,86,41
amari,cooper,CLE,WR,87,42
elijah,moore,NYJ,WR,88,43
devante,parker,NE,WR,89,44
devonta,smith,PHI,WR,90,45
josh,allen,BUF,QB,91,1
justin,herbert,LAC,QB,92,2
patrick,mahomes,KC,QB,93,3
aaron,rodgers,GB,QB,94,4
joe,burrow,CIN,QB,95,5
jalen,hurts,PHI,QB,96,6
tom,brady,TB,QB,97,7
dak,prescott,DAL,QB,98,8
matthew,stafford,LA,QB,99,9
kyler,murray,ARI,QB,100,10
lamar,jackson,BAL,QB,101,11
kirk,cousins,MIN,QB,102,12
derek,carr,LV,QB,103,13
russell,wilson,DEN,QB,104,14
trey,lance,SF,QB,105,15
matt,ryan,IND,QB,106,16
mac,jones,NE,QB,107,17
tua,tagovailoa,MIA,QB,108,18
mark,andrews,BAL,TE,109,1
travis,kelce,KC,TE,110,2
george,kittle,SF,TE,111,3
kyle,pitts,ATL,TE,112,4
dalton,schultz,DAL,TE,113,5
dallas,goedert,PHI,TE,114,6
mike,gesicki,MIA,TE,115,7
darren,waller,LV,TE,116,8
dawson,knox,BUF,TE,117,9
hunter,henry,NE,TE,118,10
tj,hockenson,DET,TE,119,11
cole,kmet,CHI,TE,120,12
albert,okwuegbunam,DEN,TE,121,13
irv,smith,MIN,TE,122,14
david,njoku,CLE,TE,123,15
zach,ertz,ARI,TE,124,16
robert,tonyan,GB,TE,125,17
pat,freiermuth,PIT,TE,126,18
